Model,Class,Precision,Recall,F1
Transformer,Normal (P1),1.0,1.0,1.0
Transformer,Inner Race (P2),0.9959016393442623,1.0,0.997946611909651
Transformer,Roller (P3),1.0,0.9958847736625515,0.9979381443298969
Transformer,Outer Race (P4),1.0,1.0,1.0
GAT,Normal (P1),1.0,1.0,1.0
GAT,Inner Race (P2),0.9918032786885246,0.9958847736625515,0.9938398357289527
GAT,Roller (P3),0.9958677685950413,0.9917695473251029,0.9938144329896907
GAT,Outer Race (P4),1.0,1.0,1.0
WAE-GAN+XGB,Normal (P1),0.98224043715847,0.9862825788751715,0.9842573579739904
WAE-GAN+XGB,Inner Race (P2),0.9539106145251397,0.9368998628257887,0.9453287197231834
WAE-GAN+XGB,Roller (P3),0.9493150684931507,0.9506172839506173,0.9499657299520219
WAE-GAN+XGB,Outer Race (P4),0.983739837398374,0.9958847736625515,0.9897750511247444
